feature,importance
N_IN_Conn_P_DstIP,0.45185183329939677
seq,0.19544985792900768
N_IN_Conn_P_SrcIP,0.17918517525231661
stddev,0.060851750538815155
max,0.04546305441180717
srate,0.037562485574736994
state_number,0.011569093431756721
mean,0.010657896974724638
min,0.004799340304890894
drate,0.002609512282547293
