model,avg_inference_ms,median_ms,mem_delta_mb
Logistic Regression,0.10905199946137145,0.08805000106804073,0.0234375
Random Forest,40.36995150105213,40.56364999269135,0.078125
Isolation Forest,19.10558800009312,17.544149988680147,0.0
